"vehicleMakeId","makeName","modelName","modelId","yearId"
200000130,"mercedes-benz","c-class",1062,2000
200000130,"mercedes-benz","c43-amg",100503419,2000
200000130,"mercedes-benz","cl-class",298,2000
200000130,"mercedes-benz","clk-class",391,2000
200000130,"mercedes-benz","e-class",1061,2000
200000130,"mercedes-benz","e55-amg",388,2000
200000130,"mercedes-benz","m-class",1063,2000
200000130,"mercedes-benz","ml55-amg",1081,2000
200000130,"mercedes-benz","s-class",1228,2000
200000130,"mercedes-benz","sl-class",386,2000
200000130,"mercedes-benz","slk-class",1064,2000
200007711,"mercury","cougar",1165,2000
200007711,"mercury","grand-marquis",372,2000
200007711,"mercury","mountaineer",1166,2000
200007711,"mercury","mystique",1117,2000
200007711,"mercury","sable",1121,2000
200007711,"mercury","villager",1167,2000
200002915,"mitsubishi","diamante",401,2000
200002915,"mitsubishi","eclipse",1146,2000
200002915,"mitsubishi","galant",1141,2000
200002915,"mitsubishi","mirage",1095,2000
200002915,"mitsubishi","montero",1096,2000
200002915,"mitsubishi","montero-sport",1028,2000
200000201,"nissan","altima",373,2000
200000201,"nissan","frontier",1238,2000
200000201,"nissan","maxima",1239,2000
200000201,"nissan","pathfinder",1040,2000
200000201,"nissan","quest",1078,2000
200000201,"nissan","sentra",441,2000
200000201,"nissan","xterra",1242,2000
200249342,"oldsmobile","alero",438,2000
200249342,"oldsmobile","bravada",1123,2000
200249342,"oldsmobile","intrigue",1134,2000
200249342,"oldsmobile","silhouette",1027,2000
200339126,"plymouth","breeze",517,2000
200339126,"plymouth","grand-voyager",100503420,2000
200339126,"plymouth","neon",3618,2000
200339126,"plymouth","prowler",429,2000
200339126,"plymouth","voyager",1090,2000
200002634,"pontiac","bonneville",1135,2000
200002634,"pontiac","firebird",377,2000
200002634,"pontiac","grand-am",1119,2000
200002634,"pontiac","grand-prix",515,2000
200002634,"pontiac","montana",1026,2000
200002634,"pontiac","sunfire",510,2000
200000886,"porsche","911",417,2000
200000886,"porsche","boxster",416,2000
200074504,"saab","9-3",1072,2000
200074504,"saab","9-5",390,2000
200004446,"saturn","l-series",1065,2000
200004446,"saturn","s-series",1077,2000
200004491,"subaru","forester",375,2000
200004491,"subaru","impreza",1029,2000
200004491,"subaru","legacy",1170,2000
200004491,"subaru","outback",1171,2000
200001853,"suzuki","esteem",1034,2000
200001853,"suzuki","grand-vitara",1079,2000
200001853,"suzuki","swift",1169,2000
200001853,"suzuki","vitara",374,2000
200003381,"toyota","4runner",1050,2000
200003381,"toyota","avalon",1074,2000
200003381,"toyota","camry",1138,2000
200003381,"toyota","camry-solara",1139,2000
200003381,"toyota","celica",1075,2000
200003381,"toyota","corolla",516,2000
200003381,"toyota","echo",1076,2000
200003381,"toyota","land-cruiser",1041,2000
200003381,"toyota","mr2-spyder",439,2000
200003381,"toyota","rav4",1049,2000
200003381,"toyota","sienna",1114,2000
200003381,"toyota","tacoma",1042,2000
200003381,"toyota","tundra",1237,2000
200000238,"volkswagen","cabrio",1057,2000
200000238,"volkswagen","eurovan",506,2000
200000238,"volkswagen","gti",100002586,2000
200000238,"volkswagen","golf",411,2000
200000238,"volkswagen","jetta",1126,2000
200000238,"volkswagen","new-beetle",511,2000
200000238,"volkswagen","passat",1058,2000
200010382,"volvo","c70",99,2000
200010382,"volvo","s40",102,2000
200010382,"volvo","s70",101,2000
200010382,"volvo","s80",498,2000
200010382,"volvo","v40",103,2000
200010382,"volvo","v70",100,2000
200002038,"acura","cl",100000010,2001
200002038,"acura","integra",100000008,2001
200002038,"acura","mdx",100000009,2001
200002038,"acura","nsx",100000011,2001
200002038,"acura","rl",100000012,2001
200002038,"acura","tl",100000013,2001
200001769,"aston-martin","db7",100000269,2001
200000001,"audi","a4",100000016,2001
200000001,"audi","a6",100000017,2001
200000001,"audi","a8",100000015,2001
200000001,"audi","s4",100000018,2001
200000001,"audi","s8",100000019,2001
200000001,"audi","tt",100000020,2001
200000001,"audi","allroad-quattro",100000014,2001
200000081,"bmw","3-series",100000021,2001
200000081,"bmw","5-series",100000022,2001
200000081,"bmw","7-series",100000023,2001
200000081,"bmw","m",100000301,2001
200000081,"bmw","m3",100000302,2001
200000081,"bmw","m5",100000474,2001
200000081,"bmw","x5",100000026,2001
200000081,"bmw","z3",100000024,2001
200000081,"bmw","z8",100000025,2001
200005848,"bentley","arnage",100000270,2001
200005848,"bentley","azure",100000271,2001
200005848,"bentley","continental",100000266,2001
200006659,"buick","century",100000028,2001
200006659,"buick","lesabre",100000030,2001
200006659,"buick","park-avenue",100000027,2001
200006659,"buick","regal",100000029,2001
200001663,"cadillac","catera",100000035,2001
200001663,"cadillac","deville",100000034,2001
200001663,"cadillac","eldorado",100000033,2001
200001663,"cadillac","seville",100000031,2001
200000404,"chevrolet","astro",100000051,2001
200000404,"chevrolet","astro-cargo",100000050,2001
200000404,"chevrolet","blazer",100000049,2001
200000404,"chevrolet","camaro",100000036,2001
200000404,"chevrolet","cavalier",100000047,2001
200000404,"chevrolet","corvette",100000052,2001
200000404,"chevrolet","express",100000045,2001
200000404,"chevrolet","express-cargo",100000044,2001
200000404,"chevrolet","impala",100000037,2001
200000404,"chevrolet","lumina",100504071,2001
200000404,"chevrolet","malibu",100000043,2001
200000404,"chevrolet","metro",100504070,2001
200000404,"chevrolet","monte-carlo",100000042,2001
200000404,"chevrolet","prizm",100000041,2001
200000404,"chevrolet","s-10",100000040,2001
200000404,"chevrolet","silverado-1500",100000039,2001
200000404,"chevrolet","silverado-1500hd",100000038,2001
200000404,"chevrolet","silverado-2500",100000057,2001
200000404,"chevrolet","silverado-2500hd",100000046,2001
200000404,"chevrolet","silverado-3500",100000048,2001
200000404,"chevrolet","suburban",100000053,2001
200000404,"chevrolet","tahoe",100000054,2001
200000404,"chevrolet","tracker",100000056,2001
200000404,"chevrolet","venture",100000055,2001
200003644,"chrysler","300m",100000063,2001
200003644,"chrysler","concorde",100000062,2001
200003644,"chrysler","lhs",100000061,2001
200003644,"chrysler","pt-cruiser",100000058,2001
200003644,"chrysler","prowler",100000306,2001
200003644,"chrysler","sebring",100000060,2001
200003644,"chrysler","town-and-country",100000064,2001
200003644,"chrysler","voyager",100000059,2001
200312185,"daewoo","lanos",100000065,2001
200312185,"daewoo","leganza",100000066,2001
200312185,"daewoo","nubira",100000067,2001
200009788,"dodge","caravan",100000075,2001
200009788,"dodge","dakota",100000074,2001
200009788,"dodge","durango",100000073,2001
200009788,"dodge","grand-caravan",100000072,2001
200009788,"dodge","intrepid",100000071,2001
200009788,"dodge","neon",100000069,2001
200009788,"dodge","ram-cargo",100000273,2001
200009788,"dodge","ram-pickup-1500",100000070,2001
200009788,"dodge","ram-pickup-2500",100000078,2001
200009788,"dodge","ram-pickup-3500",100000068,2001
200009788,"dodge","ram-wagon",100000080,2001
200009788,"dodge","stratus",100000077,2001
200009788,"dodge","viper",100000079,2001
200006023,"ferrari","360",100000274,2001
200006023,"ferrari","456m",100000275,2001
200006023,"ferrari","550",100000276,2001
200005143,"ford","crown-victoria",100000096,2001
200005143,"ford","econoline-cargo",100000277,2001
200005143,"ford","econoline-wagon",100000098,2001
200005143,"ford","escape",100000094,2001
200005143,"ford","escort",100000099,2001
200005143,"ford","excursion",100000100,2001
200005143,"ford","expedition",100000101,2001
200005143,"ford","explorer",100000091,2001
200005143,"ford","explorer-sport",100000092,2001
200005143,"ford","explorer-sport-trac",100000093,2001
200005143,"ford","f-150",100000089,2001
200005143,"ford","f-250-super-duty",100000102,2001
200005143,"ford","f-350-super-duty",100000081,2001
200005143,"ford","focus",100000083,2001
200005143,"ford","mustang",100000082,2001
200005143,"ford","ranger",100000085,2001
200005143,"ford","taurus",100000086,2001
200005143,"ford","windstar",100000088,2001
200005143,"ford","windstar-cargo",100000087,2001
200007302,"gmc","jimmy",100000118,2001
200007302,"gmc","safari",100000113,2001
200007302,"gmc","safari-cargo",100000116,2001
200007302,"gmc","savana",100000115,2001
200007302,"gmc","savana-cargo",100000114,2001
200007302,"gmc","sierra-1500",100000106,2001
200007302,"gmc","sierra-1500hd",100000112,2001
200007302,"gmc","sierra-2500",100000119,2001
200007302,"gmc","sierra-2500hd",100000117,2001
200007302,"gmc","sierra-3500",100000111,2001
200007302,"gmc","sierra-c3",100000279,2001
200007302,"gmc","sonoma",100000110,2001
200007302,"gmc","yukon",100000109,2001
200007302,"gmc","yukon-xl",100000107,2001
200004021,"hummer","h1",100000268,2001
200001444,"honda","accord",100000126,2001
200001444,"honda","cr-v",100000120,2001
200001444,"honda","civic",100000125,2001
200001444,"honda","insight",100000124,2001
200001444,"honda","odyssey",100000127,2001
200001444,"honda","passport",100000123,2001
200001444,"honda","prelude",100000122,2001
200001444,"honda","s2000",100000121,2001
200001398,"hyundai","accent",100000131,2001
200001398,"hyundai","elantra",100000132,2001
200001398,"hyundai","santa-fe",100000133,2001
200001398,"hyundai","sonata",100000130,2001
200001398,"hyundai","tiburon",100000129,2001
200001398,"hyundai","xg300",100000128,2001
200000089,"infiniti","g20",100000135,2001
200000089,"infiniti","i30",100000137,2001
200000089,"infiniti","q45",100000134,2001
200000089,"infiniti","qx4",100000136,2001
200110731,"isuzu","rodeo",100000138,2001
200110731,"isuzu","rodeo-sport",100000140,2001
200110731,"isuzu","trooper",100000139,2001
200110731,"isuzu","vehicross",100000141,2001
200003196,"jaguar","s-type",100000144,2001
200003196,"jaguar","xj-series",100000145,2001
200003196,"jaguar","xk-series",100000142,2001
200001510,"jeep","cherokee",100000147,2001
200001510,"jeep","grand-cherokee",100000146,2001
200001510,"jeep","wrangler",100000148,2001
200003063,"kia","optima",100000149,2001
200003063,"kia","rio",100000152,2001
200003063,"kia","sephia",100000153,2001
200003063,"kia","spectra",100000151,2001
200003063,"kia","sportage",100000150,2001
200005922,"lamborghini","diablo",100000305,2001
200006582,"land-rover","discovery-series-ii",100000154,2001
200006582,"land-rover","range-rover",100000155,2001
200001623,"lexus","es-300",100000160,2001
200001623,"lexus","gs-300",100000157,2001
200001623,"lexus","gs-430",100000162,2001
200001623,"lexus","is-300",100000161,2001
200001623,"lexus","ls-430",100000163,2001
200001623,"lexus","lx-470",100000156,2001
200001623,"lexus","rx-300",100000159,2001
200001777,"lincoln","continental",100000167,2001
200001777,"lincoln","ls",100000166,2001
200001777,"lincoln","navigator",100000165,2001
200001777,"lincoln","town-car",100000164,2001
200006242,"lotus","esprit",100000304,2001
200004100,"mazda","626",100000174,2001
200004100,"mazda","b-series",100000173,2001
200004100,"mazda","mpv",100000172,2001
200004100,"mazda","mx-5-miata",100000171,2001
200004100,"mazda","millenia",100000175,2001
200004100,"mazda","protege",100000170,2001
200004100,"mazda","tribute",100000169,2001
200000130,"mercedes-benz","c-class",100000184,2001
200000130,"mercedes-benz","cl-class",100000177,2001
200000130,"mercedes-benz","clk-class",100000176,2001
200000130,"mercedes-benz","e-class",100000182,2001
200000130,"mercedes-benz","m-class",100000181,2001
200000130,"mercedes-benz","s-class",100000180,2001
200000130,"mercedes-benz","sl-class",100000179,2001
200000130,"mercedes-benz","slk-class",100000183,2001
200007711,"mercury","cougar",100000185,2001
200007711,"mercury","grand-marquis",100000189,2001
200007711,"mercury","mountaineer",100000190,2001
200007711,"mercury","sable",100000188,2001
200007711,"mercury","villager",100000187,2001
200002915,"mitsubishi","diamante",100000195,2001
200002915,"mitsubishi","eclipse",100000191,2001
200002915,"mitsubishi","eclipse-spyder",100000196,2001
200002915,"mitsubishi","galant",100000197,2001
200002915,"mitsubishi","mirage",100000194,2001
200002915,"mitsubishi","montero",100000192,2001
200002915,"mitsubishi","montero-sport",100000193,2001
200000201,"nissan","altima",100000204,2001
200000201,"nissan","frontier",100000202,2001
200000201,"nissan","maxima",100000198,2001
200000201,"nissan","pathfinder",100000200,2001
200000201,"nissan","quest",100000199,2001
200000201,"nissan","sentra",100000201,2001
200000201,"nissan","xterra",100000203,2001
200249342,"oldsmobile","alero",100000211,2001
200249342,"oldsmobile","aurora",100000206,2001
200249342,"oldsmobile","bravada",100000207,2001
200249342,"oldsmobile","intrigue",100000205,2001
200249342,"oldsmobile","silhouette",100000208,2001
200339126,"plymouth","neon",100000212,2001
200339126,"plymouth","prowler",100000213,2001
200002634,"pontiac","aztek",100000214,2001
200002634,"pontiac","bonneville",100000215,2001
200002634,"pontiac","firebird",100000217,2001
200002634,"pontiac","grand-am",100000218,2001
200002634,"pontiac","grand-prix",100000220,2001
200002634,"pontiac","montana",100000216,2001
200002634,"pontiac","sunfire",100000219,2001
200000886,"porsche","911",100000222,2001
200000886,"porsche","boxster",100000221,2001
200005044,"rolls-royce","corniche",100000280,2001
200005044,"rolls-royce","park-ward",100000281,2001
200005044,"rolls-royce","silver-seraph",100000282,2001
200074504,"saab","9-3",100000224,2001
200074504,"saab","9-5",100000223,2001
200004446,"saturn","l-series",100000226,2001
200004446,"saturn","s-series",100000225,2001
200004491,"subaru","forester",100000230,2001
200004491,"subaru","impreza",100000229,2001
200004491,"subaru","legacy",100000228,2001
200004491,"subaru","outback",100000227,2001
200001853,"suzuki","esteem",100000234,2001
200001853,"suzuki","grand-vitara",100000231,2001
200001853,"suzuki","swift",100000235,2001
200001853,"suzuki","vitara",100000232,2001
200001853,"suzuki","xl-7",100000233,2001
200003381,"toyota","4runner",100000246,2001
200003381,"toyota","avalon",100000243,2001
200003381,"toyota","camry",100000245,2001
200003381,"toyota","camry-solara",100000244,2001
200003381,"toyota","celica",100000251,2001
200003381,"toyota","corolla",100000249,2001
200003381,"toyota","echo",100000250,2001
200003381,"toyota","highlander",100000242,2001
200003381,"toyota","land-cruiser",100000247,2001
200003381,"toyota","mr2-spyder",100000248,2001
200003381,"toyota","prius",100000241,2001
200003381,"toyota","rav4",100000240,2001
200003381,"toyota","sequoia",100000236,2001
200003381,"toyota","sienna",100000238,2001
200003381,"toyota","tacoma",100000237,2001
200003381,"toyota","tundra",100000239,2001
200000238,"volkswagen","cabrio",100000259,2001
200000238,"volkswagen","eurovan",100000256,2001
200000238,"volkswagen","gti",100000255,2001
200000238,"volkswagen","golf",100000257,2001
200000238,"volkswagen","jetta",100000258,2001
200000238,"volkswagen","new-beetle",100000253,2001
200000238,"volkswagen","passat",100000252,2001
200010382,"volvo","c70",100000260,2001
200010382,"volvo","s40",100000261,2001
200010382,"volvo","s60",100000262,2001
200010382,"volvo","s80",100000263,2001
200010382,"volvo","v40",100000264,2001
200010382,"volvo","v70",100000265,2001
200002038,"acura","cl",100000456,2002
200002038,"acura","mdx",100000530,2002
200002038,"acura","nsx",100000573,2002
200002038,"acura","rl",100000322,2002
200002038,"acura","rsx",100000367,2002
200002038,"acura","tl",100000321,2002
200001769,"aston-martin","db7",100000548,2002
200001769,"aston-martin","v12-vanquish",100502589,2002
200000001,"audi","a4",100000447,2002
200000001,"audi","a6",100000448,2002
200000001,"audi","a8",100000449,2002
200000001,"audi","s4",100000450,2002
200000001,"audi","s6",100000466,2002
200000001,"audi","s8",100000451,2002
200000001,"audi","tt",100000452,2002
200000001,"audi","allroad-quattro",100000453,2002
200000081,"bmw","3-series",100000457,2002
200000081,"bmw","5-series",100000458,2002
200000081,"bmw","7-series",100000459,2002
200000081,"bmw","m",100000460,2002
200000081,"bmw","m3",100000461,2002
200000081,"bmw","m5",100000465,2002
200000081,"bmw","x5",100000462,2002
200000081,"bmw","z3",100000463,2002
200000081,"bmw","z8",100000464,2002
200005848,"bentley","arnage",100502590,2002
200005848,"bentley","azure",100502591,2002
200005848,"bentley","continental",100502592,2002
200006659,"buick","century",3812,2002
200006659,"buick","lesabre",3813,2002
200006659,"buick","park-avenue",3825,2002
200006659,"buick","regal",3814,2002
200006659,"buick","rendezvous",100000311,2002
200001663,"cadillac","deville",3819,2002
200001663,"cadillac","eldorado",3820,2002
200001663,"cadillac","escalade",100000032,2002
200001663,"cadillac","escalade-ext",100000272,2002
200001663,"cadillac","seville",3821,2002
200000404,"chevrolet","astro",3861,2002
200000404,"chevrolet","astro-cargo",3862,2002
200000404,"chevrolet","avalanche",100000309,2002
200000404,"chevrolet","blazer",3863,2002
200000404,"chevrolet","camaro",100000348,2002
200000404,"chevrolet","cavalier",3822,2002
200000404,"chevrolet","corvette",3823,2002
200000404,"chevrolet","express",3829,2002
200000404,"chevrolet","express-cargo",3830,2002
200000404,"chevrolet","impala",3807,2002
200000404,"chevrolet","malibu",3808,2002
200000404,"chevrolet","monte-carlo",3824,2002
200000404,"chevrolet","prizm",100000349,2002
200000404,"chevrolet","s-10",3858,2002
200000404,"chevrolet","silverado-1500",3839,2002
200000404,"chevrolet","silverado-1500hd",3850,2002
200000404,"chevrolet","silverado-2500",3851,2002
200000404,"chevrolet","silverado-2500hd",3852,2002
